title,score,evaluate,quote,link_url
英雄本色,8.6,560999人评价,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
小丑,8.7,1044151人评价,,https://movie.douban.com/subject/27119724/
上帝之城,9.0,309816人评价,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
绿里奇迹,8.9,348096人评价,天使暂时离开。,https://movie.douban.com/subject/1300374/
风之谷,8.9,365445人评价,动画片的圣经。,https://movie.douban.com/subject/1291585/
爱在午夜降临前,8.9,422781人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
title,score,evaluate,quote,link_url
海街日记,8.8,468535人评价,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
纵横四海,8.8,441067人评价,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
卢旺达饭店,8.9,341488人评价,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
心灵奇旅,8.7,1028331人评价,,https://movie.douban.com/subject/24733428/
背靠背，脸对脸,9.5,145726人评价,,https://movie.douban.com/subject/1307856/
疯狂的石头,8.6,855726人评价,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
记忆碎片,8.7,624060人评价,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
雨中曲,9.1,237840人评价,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
2001太空漫游,8.9,348773人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
无间道2,8.7,504400人评价,,https://movie.douban.com/subject/1307106/
岁月神偷,8.7,586189人评价,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
小偷家族,8.7,839316人评价,我们组成了家。,https://movie.douban.com/subject/27622447/
忠犬八公物语,9.2,202792人评价,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
无敌破坏王,8.7,563566人评价,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
